column,category,description
datetime_utc,Timestamp,Timestamp in Coordinated Universal Time (UTC).
datetime_local,Timestamp,Timestamp converted to local time (Eastern Time).
demand_imputed_pudl_mwh,Target Variable,TARGET: Electricity demand with missing/outliers imputed by PUDL.
demand_imputed_pudl_mwh_lag_1h,Lagged Demand Feature,Demand from 1 hour before the current timestamp.
demand_imputed_pudl_mwh_lag_2h,Lagged Demand Feature,Demand from 2 hours before the current timestamp.
demand_imputed_pudl_mwh_lag_3h,Lagged Demand Feature,Demand from 3 hours before the current timestamp.
demand_imputed_pudl_mwh_lag_24h,Lagged Demand Feature,Demand from the same hour on the previous day.
demand_imputed_pudl_mwh_lag_48h,Lagged Demand Feature,Demand from the same hour two days earlier.
demand_imputed_pudl_mwh_lag_72h,Lagged Demand Feature,Demand from the same hour three days earlier.
demand_imputed_pudl_mwh_lag_168h,Lagged Demand Feature,Demand from the same hour one week earlier.
demand_imputed_pudl_mwh_rolling_mean_3h,Rolling Demand Feature,Mean demand over the previous 3 hours.
demand_imputed_pudl_mwh_rolling_mean_6h,Rolling Demand Feature,Mean demand over the previous 6 hours.
demand_imputed_pudl_mwh_rolling_mean_24h,Rolling Demand Feature,Mean demand over the previous 24 hours.
demand_imputed_pudl_mwh_rolling_mean_168h,Rolling Demand Feature,"Mean demand over the previous 168 hours, equivalent to one week."
demand_imputed_pudl_mwh_rolling_max_24h,Rolling Demand Feature,Maximum demand over the previous 24 hours.
demand_imputed_pudl_mwh_rolling_min_24h,Rolling Demand Feature,Minimum demand over the previous 24 hours.
demand_imputed_pudl_mwh_rolling_std_24h,Rolling Demand Feature,Standard deviation of demand over the previous 24 hours.
temperature_2m_albany_ga,City-Level Weather Feature,"Air temperature at 2m in Albany, GA."
temperature_2m_atlanta_ga,City-Level Weather Feature,"Air temperature at 2m in Atlanta, GA."
temperature_2m_birmingham_al,City-Level Weather Feature,"Air temperature at 2m in Birmingham, AL."
temperature_2m_huntsville_al,City-Level Weather Feature,"Air temperature at 2m in Huntsville, AL."
temperature_2m_meridian_ms,City-Level Weather Feature,"Air temperature at 2m in Meridian, MS."
temperature_2m_mobile_al,City-Level Weather Feature,"Air temperature at 2m in Mobile, AL."
temperature_2m_savannah_ga,City-Level Weather Feature,"Air temperature at 2m in Savannah, GA."
relative_humidity_2m_albany_ga,City-Level Weather Feature,"Relative humidity at 2m in Albany, GA."
relative_humidity_2m_atlanta_ga,City-Level Weather Feature,"Relative humidity at 2m in Atlanta, GA."
relative_humidity_2m_birmingham_al,City-Level Weather Feature,"Relative humidity at 2m in Birmingham, AL."
relative_humidity_2m_huntsville_al,City-Level Weather Feature,"Relative humidity at 2m in Huntsville, AL."
relative_humidity_2m_meridian_ms,City-Level Weather Feature,"Relative humidity at 2m in Meridian, MS."
relative_humidity_2m_mobile_al,City-Level Weather Feature,"Relative humidity at 2m in Mobile, AL."
relative_humidity_2m_savannah_ga,City-Level Weather Feature,"Relative humidity at 2m in Savannah, GA."
dew_point_2m_albany_ga,City-Level Weather Feature,"Dew point temperature at 2m in Albany, GA."
dew_point_2m_atlanta_ga,City-Level Weather Feature,"Dew point temperature at 2m in Atlanta, GA."
dew_point_2m_birmingham_al,City-Level Weather Feature,"Dew point temperature at 2m in Birmingham, AL."
dew_point_2m_huntsville_al,City-Level Weather Feature,"Dew point temperature at 2m in Huntsville, AL."
dew_point_2m_meridian_ms,City-Level Weather Feature,"Dew point temperature at 2m in Meridian, MS."
dew_point_2m_mobile_al,City-Level Weather Feature,"Dew point temperature at 2m in Mobile, AL."
dew_point_2m_savannah_ga,City-Level Weather Feature,"Dew point temperature at 2m in Savannah, GA."
precipitation_albany_ga,City-Level Weather Feature,"Hourly precipitation in Albany, GA."
precipitation_atlanta_ga,City-Level Weather Feature,"Hourly precipitation in Atlanta, GA."
precipitation_birmingham_al,City-Level Weather Feature,"Hourly precipitation in Birmingham, AL."
precipitation_huntsville_al,City-Level Weather Feature,"Hourly precipitation in Huntsville, AL."
precipitation_meridian_ms,City-Level Weather Feature,"Hourly precipitation in Meridian, MS."
precipitation_mobile_al,City-Level Weather Feature,"Hourly precipitation in Mobile, AL."
precipitation_savannah_ga,City-Level Weather Feature,"Hourly precipitation in Savannah, GA."
surface_pressure_albany_ga,City-Level Weather Feature,"Surface pressure in Albany, GA."
surface_pressure_atlanta_ga,City-Level Weather Feature,"Surface pressure in Atlanta, GA."
surface_pressure_birmingham_al,City-Level Weather Feature,"Surface pressure in Birmingham, AL."
surface_pressure_huntsville_al,City-Level Weather Feature,"Surface pressure in Huntsville, AL."
surface_pressure_meridian_ms,City-Level Weather Feature,"Surface pressure in Meridian, MS."
surface_pressure_mobile_al,City-Level Weather Feature,"Surface pressure in Mobile, AL."
surface_pressure_savannah_ga,City-Level Weather Feature,"Surface pressure in Savannah, GA."
wind_speed_10m_albany_ga,City-Level Weather Feature,"Wind speed at 10m in Albany, GA."
wind_speed_10m_atlanta_ga,City-Level Weather Feature,"Wind speed at 10m in Atlanta, GA."
wind_speed_10m_birmingham_al,City-Level Weather Feature,"Wind speed at 10m in Birmingham, AL."
wind_speed_10m_huntsville_al,City-Level Weather Feature,"Wind speed at 10m in Huntsville, AL."
wind_speed_10m_meridian_ms,City-Level Weather Feature,"Wind speed at 10m in Meridian, MS."
wind_speed_10m_mobile_al,City-Level Weather Feature,"Wind speed at 10m in Mobile, AL."
wind_speed_10m_savannah_ga,City-Level Weather Feature,"Wind speed at 10m in Savannah, GA."
shortwave_radiation_albany_ga,City-Level Weather Feature,"Solar radiation in Albany, GA."
shortwave_radiation_atlanta_ga,City-Level Weather Feature,"Solar radiation in Atlanta, GA."
shortwave_radiation_birmingham_al,City-Level Weather Feature,"Solar radiation in Birmingham, AL."
shortwave_radiation_huntsville_al,City-Level Weather Feature,"Solar radiation in Huntsville, AL."
shortwave_radiation_meridian_ms,City-Level Weather Feature,"Solar radiation in Meridian, MS."
shortwave_radiation_mobile_al,City-Level Weather Feature,"Solar radiation in Mobile, AL."
shortwave_radiation_savannah_ga,City-Level Weather Feature,"Solar radiation in Savannah, GA."
temperature_2m_regional_mean,Regional Weather Feature,Mean 2-meter air temperature across the selected SOCO-region cities.
relative_humidity_2m_regional_mean,Regional Weather Feature,Mean 2-meter relative humidity across the selected SOCO-region cities.
dew_point_2m_regional_mean,Regional Weather Feature,Mean 2-meter dew point temperature across the selected SOCO-region cities.
precipitation_regional_mean,Regional Weather Feature,Mean precipitation across the selected SOCO-region cities.
surface_pressure_regional_mean,Regional Weather Feature,Mean surface pressure across the selected SOCO-region cities.
wind_speed_10m_regional_mean,Regional Weather Feature,Mean 10-meter wind speed across the selected SOCO-region cities.
shortwave_radiation_regional_mean,Regional Weather Feature,Mean shortwave solar radiation across the selected SOCO-region cities.
hour,Time Feature,Hour of day (0–23).
day_of_week,Time Feature,"Day of week (0=Monday, 6=Sunday)."
day_of_month,Time Feature,Day of month (1–31).
day_of_year,Time Feature,Day of year (1–366).
month,Time Feature,Month (1–12).
quarter,Time Feature,Quarter of year (1–4).
year,Time Feature,Calendar year.
week_of_year,Time Feature,ISO week number.
is_weekend,Calendar Flag,"Indicator for Saturday/Sunday (1=yes, 0=no)."
is_month_start,Calendar Flag,Indicator for first day of month.
is_month_end,Calendar Flag,Indicator for last day of month.
is_quarter_start,Calendar Flag,Indicator for first day of quarter.
is_quarter_end,Calendar Flag,Indicator for last day of quarter.
is_holiday,Calendar Flag,"Indicator for observed US federal holiday (1=yes, 0=no)."
hour_sin,Cyclical Encoding,Sine transformation of hour (captures daily cycle).
hour_cos,Cyclical Encoding,Cosine transformation of hour.
day_of_week_sin,Cyclical Encoding,Sine transformation of day of week.
day_of_week_cos,Cyclical Encoding,Cosine transformation of day of week.
month_sin,Cyclical Encoding,Sine transformation of month (seasonality).
month_cos,Cyclical Encoding,Cosine transformation of month.
day_of_year_sin,Cyclical Encoding,Sine transformation of day of year (annual cycle).
day_of_year_cos,Cyclical Encoding,Cosine transformation of day of year.
